id,team_name,fifa_code,group_letter,is_placeholder,fifa_rank
1,Mexico,MEX,A,False,14
2,South Africa,RSA,A,False,60
3,South Korea,KOR,A,False,25
4,Czechia,CZE,A,False,40
5,Canada,CAN,B,False,30
6,Bosnia and Herzegovina,BIH,B,False,64
7,Qatar,QAT,B,False,56
8,Switzerland,SUI,B,False,19
9,Brazil,BRA,C,False,6
10,Morocco,MAR,C,False,7
11,Haiti,HAI,C,False,83
12,Scotland,SCO,C,False,42
13,USA,USA,D,False,17
14,Paraguay,PAR,D,False,41
15,Australia,AUS,D,False,27
16,Türkiye,TUR,D,False,22
17,Germany,GER,E,False,10
18,Curaçao,CUR,E,False,82
19,Côte d'Ivoire,CIV,E,False,33
20,Ecuador,ECU,E,False,23
21,Netherlands,NED,F,False,8
22,Japan,JPN,F,False,18
23,Sweden,SWE,F,False,38
24,Tunisia,TUN,F,False,45
25,Belgium,BEL,G,False,9
26,Egypt,EGY,G,False,29
27,IR Iran,IRN,G,False,20
28,New Zealand,NZL,G,False,85
29,Spain,ESP,H,False,2
30,Cabo Verde,CPV,H,False,67
31,Saudi Arabia,KSA,H,False,61
32,Uruguay,URU,H,False,16
33,France,FRA,I,False,3
34,Senegal,SEN,I,False,15
35,Iraq,IRQ,I,False,57
36,Norway,NOR,I,False,31
37,Argentina,ARG,J,False,1
38,Algeria,ALG,J,False,28
39,Austria,AUT,J,False,24
40,Jordan,JOR,J,False,63
41,Portugal,POR,K,False,5
42,DR Congo,COD,K,False,46
43,Uzbekistan,UZB,K,False,50
44,Colombia,COL,K,False,13
45,England,ENG,L,False,4
46,Croatia,CRO,L,False,11
47,Ghana,GHA,L,False,73
48,Panama,PAN,L,False,34
